INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
225520077,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D14,786,0,02-02-2022 00:00,2022,2,Wednesday,0,,WASHINGTON ST,42.34308127,-71.14172267,"(42.34308127134165, -71.14172267328729)"
222648862,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,288,0,05-02-2022 18:25,2022,2,Saturday,18,,WASHINGTON ST,42.3297482,-71.08454012,"(42.329748204791635, -71.08454011649543)"
222201764,724,,AUTO THEFT,C6,200,0,09-01-2022 00:00,2022,1,Sunday,0,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222201559,301,,ROBBERY,D4, ,0,05-03-2022 13:00,2022,3,Saturday,13,,ALBANY ST,42.33318449,-71.07393881,"(42.333184490911954, -71.07393881002383)"
222111641,619,,LARCENY ALL OTHERS,D14,778,0,14-02-2022 12:30,2022,2,Monday,12,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222107076,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4, ,0,11-03-2022 10:45,2022,3,Friday,10,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.33349998,-71.07351,"(42.33349998017161, -71.07350999617319)"
22209348,801,,ASSAULT - SIMPLE,C6,235,0,08-02-2022 22:37,2022,2,Tuesday,22,,DORCHESTER AVE,42.32137427,-71.05679486,"(42.321374273916476, -71.05679486212327)"
222073971,611,,LARCENY PICK-POCKET,A1,77,0,27-02-2022 10:07,2022,2,Sunday,10,,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.361838566564714, -71.05976489094158)"
222072974,619,,LARCENY ALL OTHERS,C6,186,0,14-01-2022 15:20,2022,1,Friday,15,,ALLSTATE ROAD,0,0,"(0, 0)"
222055138,3201,,PROPERTY - LOST/ MISSING,E13,574,0,23-01-2022 13:15,2022,1,Sunday,13,,WASHINGTON ST,42.30971857,-71.10429432,"(42.30971856767274, -71.10429431787648)"
222045598,2610,,TRESPASSING,B2,280,0,21-01-2022 12:30,2022,1,Friday,12,,DUDLEY ST,42.32872589,-71.08382217,"(42.32872588572028, -71.08382216968015)"
222040102,3410,,TOWED MOTOR VEHICLE,E13,569,0,11-02-2022 00:00,2022,2,Friday,0,,STEDMAN ST,42.30429914,-71.10725969,"(42.30429914163865, -71.10725969449103)"
22203312,540,,BURGLARY - COMMERICAL,A1, ,0,16-01-2022 01:40,2022,1,Sunday,1,,LINCOLN STREET,0,0,"(0, 0)"
222027001,2670,,HARASSMENT/ CRIMINAL HARASSMENT,E5,559,0,20-02-2022 04:00,2022,2,Sunday,4,,WASHINGTON ST,42.28471678,-71.12998991,"(42.284716775781206, -71.1299899063583)"
222019906,3115,,INVESTIGATE PERSON,A1, ,0,22-03-2022 03:12,2022,3,Tuesday,3,,STATE ST,42.359287,-71.05379102,"(42.359286996590036, -71.05379101582544)"
222019904,2905,,VAL - VIOLATION OF AUTO LAW,D4, ,0,22-03-2022 01:49,2022,3,Tuesday,1,,"NORTHAMPTON ST & HARRISON AVE
ROXBURY  MA 02118
UN",42.33444896,-71.07574199,"(42.334448956787355, -71.07574199427347)"
222019900,801,,ASSAULT - SIMPLE,A7, ,0,22-03-2022 01:01,2022,3,Tuesday,1,,MERIDIAN ST,42.37172932,-71.03899985,"(42.37172931527527, -71.03899984735429)"
222019898,531,,BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN),C6, ,0,22-03-2022 00:53,2022,3,Tuesday,0,,DR. MICHAEL GAVIN WAY,42.32614559,-71.05349144,"(42.32614558734646, -71.0534914437945)"
222019897,3018,,SICK/INJURED/MEDICAL - POLICE,B2, ,0,22-03-2022 00:34,2022,3,Tuesday,0,,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866283555608, -71.08563401183545)"
222019894,3108,,FIRE REPORT,E18, ,0,21-03-2022 23:48,2022,3,Monday,23,,WALNUT ST,42.25259863,-71.1211867,"(42.252598627047384, -71.12118669877843)"
222019892,1831,,SICK ASSIST,B3, ,0,21-03-2022 23:01,2022,3,Monday,23,,WINSTON RD,42.28508809,-71.08789462,"(42.28508808723223, -71.08789462339873)"
222019891,3115,,INVESTIGATE PERSON,D4, ,0,21-03-2022 23:00,2022,3,Monday,23,,PARK DR,42.34598862,-71.1047765,"(42.34598862230432, -71.10477650186479)"
222019890,1831,,SICK ASSIST,A1, ,0,21-03-2022 23:01,2022,3,Monday,23,,COURT ST,42.35892279,-71.05835354,"(42.35892278751083, -71.0583535444055)"
222019888,613,,LARCENY SHOPLIFTING,C11, ,0,21-03-2022 22:04,2022,3,Monday,22,,WILLIAM T MORRISSEY BLVD,42.29767279,-71.04941018,"(42.297672793423445, -71.04941017639025)"
222019887,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,B2,319,0,21-03-2022 22:40,2022,3,Monday,22,,NAZING ST,42.3066408,-71.08584976,"(42.30664080466999, -71.08584976430885)"
